saving results in /home/fabian/simulation_results/transfer/lg=20_Vd=0.2_started:2015-07-23-15-16-19
(175/1000), V={0, 0.2, -0.194895}: 10 iterations, reldev=0.229448, n_E = 7816
(176/1000), V={0, 0.2, -0.194294}: 10 iterations, reldev=0.229262, n_E = 7756
(177/1000), V={0, 0.2, -0.193694}: 10 iterations, reldev=0.229071, n_E = 7724
(178/1000), V={0, 0.2, -0.193093}: 10 iterations, reldev=0.228899, n_E = 7744
(179/1000), V={0, 0.2, -0.192492}: 10 iterations, reldev=0.228709, n_E = 7824
(180/1000), V={0, 0.2, -0.191892}: 10 iterations, reldev=0.228352, n_E = 7756
(181/1000), V={0, 0.2, -0.191291}: 10 iterations, reldev=0.228331, n_E = 7680
(182/1000), V={0, 0.2, -0.190691}: 10 iterations, reldev=0.228115, n_E = 7776
(183/1000), V={0, 0.2, -0.19009}: 10 iterations, reldev=0.227853, n_E = 7772
(184/1000), V={0, 0.2, -0.189489}: 10 iterations, reldev=0.227438, n_E = 7716
(185/1000), V={0, 0.2, -0.188889}: 10 iterations, reldev=0.227224, n_E = 7832
(186/1000), V={0, 0.2, -0.188288}: 10 iterations, reldev=0.227059, n_E = 7800
(187/1000), V={0, 0.2, -0.187688}: 10 iterations, reldev=0.226832, n_E = 7712
(188/1000), V={0, 0.2, -0.187087}: 10 iterations, reldev=0.226617, n_E = 7740
(189/1000), V={0, 0.2, -0.186486}: 10 iterations, reldev=0.226396, n_E = 7716
(190/1000), V={0, 0.2, -0.185886}: 10 iterations, reldev=0.226159, n_E = 7760
(191/1000), V={0, 0.2, -0.185285}: 10 iterations, reldev=0.225914, n_E = 7716
(192/1000), V={0, 0.2, -0.184685}: 10 iterations, reldev=0.226037, n_E = 7772
(193/1000), V={0, 0.2, -0.184084}: 10 iterations, reldev=0.225464, n_E = 7760
(194/1000), V={0, 0.2, -0.183483}: 10 iterations, reldev=0.225161, n_E = 7796
(195/1000), V={0, 0.2, -0.182883}: 10 iterations, reldev=0.225006, n_E = 7836
(196/1000), V={0, 0.2, -0.182282}: 10 iterations, reldev=0.224776, n_E = 7736
(197/1000), V={0, 0.2, -0.181682}: 10 iterations, reldev=0.224748, n_E = 7788
(198/1000), V={0, 0.2, -0.181081}: 10 iterations, reldev=0.224504, n_E = 7796
(199/1000), V={0, 0.2, -0.18048}: 10 iterations, reldev=0.224294, n_E = 7724
(200/1000), V={0, 0.2, -0.17988}: 10 iterations, reldev=0.224022, n_E = 7828
(201/1000), V={0, 0.2, -0.179279}: 10 iterations, reldev=0.223776, n_E = 7784
(202/1000), V={0, 0.2, -0.178679}: 10 iterations, reldev=0.223511, n_E = 7752
(203/1000), V={0, 0.2, -0.178078}: 10 iterations, reldev=0.223277, n_E = 7828
(204/1000), V={0, 0.2, -0.177477}: 10 iterations, reldev=0.223039, n_E = 7764
(205/1000), V={0, 0.2, -0.176877}: 10 iterations, reldev=0.222782, n_E = 7736
(206/1000), V={0, 0.2, -0.176276}: 10 iterations, reldev=0.222527, n_E = 7800
